afferenet,animal,use,popCode,dontUSE,figure,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,high_firing_Hz,receptiveField,Trial#,TrigStart.R,ms.F,Dyn.pfr,stat.halfHold,stat.firstSpikeHold,Stat.HzEnd,dyn.halfRamp,Stat.pps,Stat.avg,Stat.HzSTD,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,cond_delay
A100401_22_152_cell 16,A100401_22_152,1,,,,cell 16,1,wt,wt_ra1,0,0,,1,ra1,,,,,58.497,0.063316,0.124497,0.070768,0.070785,0.070785,0.070785,0.070768,0.070785,0,0,53.054,19.476654,1.520182,3.054,19.53997,1,1,0.053729,0,0,
A100401_22_152_cell 16,A100401_22_152,0,,,,cell 16,1,wt,wt_ra1,0,0,,1,ra1,,,,,72.627999,0.090189,0.070785,0.07076,0.070768,0.070768,0.070768,0.07076,0.070768,0,0,52.823,19.61127,1.491273,2.823,19.701459,1,1,0.000025,0,0,
A100401_22_152_cell 16,A100401_22_152,0,,,,cell 16,1,wt,wt_ra1,0,0,,1,ra1,,,,,86.758998,0.300159,0.070768,0.037119,0.07076,0.541914,0.07076,0.037119,0.306337,0.333156,0,54.08,19.47723,1.5164,1849.392,19.667308,1,2,0.033649,0,0,
A100401_22_152_cell 17,A100401_22_152,1,1,,,cell 17,1,wt,wt_ra1,0,0,,1,ra1,,,,,79.881,0.261632,0.248001,0.099156,0.099156,0.248001,0.099156,0.099156,0,0,0,18.926,8.76703,0.724549,-31.074,9.028661,1,1,0.148845,0,0,
A100401_22_152_cell 17,A100401_22_152,0,,,,cell 17,1,wt,wt_ra1,0,0,,1,ra1,,,,,94.011999,0.26377,0.247177,0.099159,0.099159,0.247177,0.099159,0.099159,0,0,0,18.743,8.261352,0.726886,-31.257,8.525122,1,1,0.148019,0,0,
A100401_22_152_cell 17,A100401_22_152,0,,,,cell 17,1,wt,wt_ra1,0,0,,1,ra1,,,,,108.142998,0.275805,0.247157,0.099155,0.099155,0.247157,0.099155,0.099155,0,0,0,18.608,8.589733,0.716177,-31.392,8.865538,1,2,0.148001,0,0,
A100401_22_152_cell 18,A100401_22_152,1,,,,cell 18,1,wt,wt_sa1,0,0,,3,sa1,,,,,160.140999,0.35221,263.71308,6.315045,274.122807,8.633789,52.083333,0.204028,31.308799,49.682053,263.71308,14.591,5.364386,0.192864,9204.015,19.621168,6,74,257.398035,12502.63871,-8.107772,
A100401_22_152_cell 18,A100401_22_152,0,,,,cell 18,1,wt,wt_sa1,0,0,,3,sa1,,,,,174.271998,0.373446,176.553672,2.095698,181.15942,0.971025,84.345479,0.221466,28.409305,40.95731,0,24.296,9.340408,0.191051,9588.6,19.042969,5,52,174.457974,7177.903056,-7.213199,
A100401_22_152_cell 18,A100401_22_152,0,,,,cell 18,1,wt,wt_sa1,0,0,,3,sa1,,,,,188.403,0.244853,156.641604,1.198213,164.041995,9.065854,91.776799,1.949591,27.555888,41.337768,0,22.958,8.643391,0.166918,9973.806,19.250597,5,30,155.443391,6442.407229,-7.356664,
A100401_22_152_cell 19,A100401_22_152,1,1,,1,cell 19,1,wt,wt_ra1,0,0,,1,ra1,,,,,49.378998,0.390794,67.204301,0.099328,0.099328,67.204301,67.204301,0.099328,0,0,336.021505,10.736,3.736527,0.313809,-13.824,14.256251,5,1,67.104973,-15081.63971,0,
